sector,index,temp,humidity
1,0,18.2807,37.8226
1,1,18.4010,37.5792
1,2,18.3343,37.8676
1,3,18.4585,38.3026
1,4,18.3868,37.8913
1,5,18.2457,37.7071
1,6,18.3959,37.7222
1,7,18.5375,38.1836
1,8,18.5648,37.8842
1,9,18.4440,38.3628
1,10,18.3266,38.1131
1,11,18.4035,37.9535
1,12,18.5059,38.2177
1,13,18.4342,37.9482
1,14,18.4200,38.1464
1,15,18.5359,37.9007
1,16,18.6250,38.2169
1,17,18.5945,38.6156
1,18,18.5316,38.1464
1,19,18.5617,38.1540
1,20,18.6757,38.1781
1,21,18.6296,38.3152
1,22,18.5359,38.4398
1,23,18.6293,38.1231
1,24,18.5631,38.4753
1,25,18.7219,38.7049
1,26,18.6230,38.8435
1,27,18.6760,38.8200
1,28,18.5268,38.1869
1,29,18.6772,38.3788
1,30,18.7450,38.3779
1,31,18.6262,38.4305
1,32,18.7846,38.5053
1,33,18.7231,38.5320
1,34,18.7911,38.3838
1,35,18.7146,38.6631
1,36,18.7338,38.5584
1,37,18.8111,38.6165
1,38,18.7680,38.4432
1,39,18.6728,38.8371
1,40,18.8928,39.2099
1,41,18.6834,38.8346
1,42,18.7652,39.2948
1,43,18.9386,39.2630
1,44,18.9900,38.6609
1,45,18.7953,38.9555
1,46,18.8677,39.1999
1,47,19.0173,39.1689
1,48,18.7502,39.4294
1,49,18.7885,39.2238
1,50,18.8210,39.1351
1,51,18.9123,39.0360
1,52,18.9552,38.7862
1,53,18.8683,39.5210
1,54,18.9590,39.0930
1,55,19.0185,39.0997
1,56,19.0860,39.5999
1,57,19.1073,38.8958
1,58,19.0660,39.4425
1,59,19.0524,39.3313
1,60,19.0535,39.3548
1,61,19.1121,39.3025
1,62,18.9299,39.4951
2,0,18.1314,65.2454
2,1,18.0765,65.1135
2,2,18.0218,65.0555
2,3,17.9290,64.7674
2,4,18.0247,64.5938
2,5,18.1572,64.5785
2,6,18.0269,65.0770
2,7,18.1710,64.8607
2,8,18.0306,64.6459
2,9,18.0925,64.5925
2,10,18.0331,64.5783
2,11,18.0001,64.9808
2,12,18.1848,64.6052
2,13,18.0084,64.9420
2,14,18.0230,64.9417
2,15,18.0824,65.0181
2,16,18.0423,64.8590
2,17,18.1642,64.6908
2,18,18.2040,64.8679
2,19,18.1746,64.2768
2,20,18.2349,64.4951
2,21,18.3153,64.4951
2,22,18.2815,64.8203
2,23,18.3392,64.8241
2,24,18.2383,64.3685
2,25,18.3361,64.3238
2,26,18.1855,64.6295
2,27,18.4513,64.3720
2,28,18.3649,64.6281
2,29,18.3721,64.1771
2,30,18.2960,64.0040
2,31,18.4443,64.0384
2,32,18.2534,64.1799
2,33,18.4900,64.4584
2,34,18.4596,64.4245
2,35,18.2707,64.0302
2,36,18.4265,64.5190
2,37,18.5930,64.3044
2,38,18.5178,64.2056
2,39,18.3630,63.7758
2,40,18.4510,63.7608
2,41,18.5275,63.8513
2,42,18.4995,63.7323
2,43,18.5125,64.2586
2,44,18.3942,63.9917
2,45,18.6550,64.0881
2,46,18.5471,64.0035
2,47,18.6295,64.2651
2,48,18.4952,63.5577
2,49,18.6186,63.8771
2,50,18.5034,63.6202
2,51,18.5688,63.9321
2,52,18.5397,64.1163
2,53,18.4886,63.6805
2,54,18.5840,63.4736
2,55,18.6014,63.7449
2,56,18.5608,64.0978
2,57,18.6613,63.9353
2,58,18.7629,63.5722
2,59,18.7671,63.5667
2,60,18.5733,63.8256
2,61,18.7717,63.8543
2,62,18.8700,63.3470
3,0,18.8180,63.5952
3,1,18.6755,63.3116
3,2,18.8658,63.1930
3,3,18.6990,63.3461
3,4,18.6916,63.4268
3,5,18.9006,63.7290
3,6,18.8877,63.6259
3,7,18.7101,63.3335
3,8,18.7305,63.3504
3,9,18.8343,63.0418
3,10,18.9164,63.0937
3,11,19.0174,63.0639
3,12,18.7913,63.6570
3,13,19.0546,63.5909
3,14,19.0388,62.8806
3,15,18.8948,63.4228
3,16,18.8050,62.8561
3,17,18.9205,63.1010
3,18,19.0706,63.0381
3,19,18.8862,62.7376
3,20,18.9557,62.7088
3,21,18.9804,62.7475
3,22,19.1560,63.2587
3,23,19.0064,63.3968
3,24,19.0673,63.1722
3,25,18.9196,63.3299
3,26,19.1647,63.0026
3,27,19.0288,63.0724
3,28,19.1460,63.2781
3,29,19.0753,62.8363
3,30,19.0531,62.8578
3,31,19.2779,62.4478
3,32,19.0424,62.8995
3,33,19.1218,63.1674
3,34,19.1430,62.8159
3,35,19.2183,63.0374
3,36,19.2816,62.3202
3,37,19.1380,62.7693
3,38,19.2755,62.4791
3,39,19.2688,62.8025
3,40,19.0894,62.3630
3,41,19.3606,62.6528
3,42,19.3836,62.5869
3,43,19.1459,62.6097
3,44,19.1596,62.6122
3,45,19.2993,62.6930
3,46,19.3659,62.5795
3,47,19.1840,62.4359
3,48,19.3541,62.6977
3,49,19.4404,62.0384
3,50,19.4062,62.5326
3,51,19.4538,62.2427
3,52,19.2704,62.0585
3,53,19.5071,62.0115
3,54,19.4618,62.4054
3,55,19.4031,61.8819
3,56,19.4037,62.4492
3,57,19.3154,62.5848
3,58,19.3477,62.0542
3,59,19.4120,62.5472
3,60,19.3714,62.4944
3,61,19.4210,62.2736
3,62,19.6023,62.0096
4,0,19.5048,62.4194
4,1,19.5543,62.3473
4,2,19.5196,62.1811
4,3,19.6687,61.7383
4,4,19.4129,61.8179
4,5,19.6535,61.9198
4,6,19.5667,61.8408
4,7,19.4652,61.6741
4,8,19.7019,61.6708
4,9,19.5443,61.8318
4,10,19.4823,62.1755
4,11,19.7668,62.0628
4,12,19.7942,62.1825
4,13,19.5960,61.9902
4,14,19.5890,61.4966
4,15,19.7481,61.9129
4,16,19.7422,61.4302
4,17,19.6617,61.9530
4,18,19.8373,61.8454
4,19,19.8633,61.6270
4,20,19.7014,61.7360
4,21,19.7580,61.4031
4,22,19.7161,61.3579
4,23,19.8986,61.1684
4,24,19.7514,61.5878
4,25,19.8823,61.5361
4,26,19.7904,61.2001
4,27,19.8456,61.7908
4,28,19.9462,61.8188
4,29,19.7303,61.4845
4,30,19.7707,61.6633
4,31,19.8435,61.5632
4,32,19.7787,61.1704
4,33,19.7919,61.3916
4,34,19.8222,60.9223
4,35,19.8431,61.0507
4,36,19.8600,61.0442
4,37,20.0388,61.1122
4,38,19.9037,61.4170
4,39,20.1178,61.3347
4,40,19.8929,61.0374
4,41,20.0114,61.2782
4,42,19.9421,60.9537
4,43,20.1601,60.7452
4,44,20.0308,61.4338
4,45,20.1080,61.0162
4,46,20.1443,60.7544
4,47,19.9538,60.7773
4,48,20.1535,61.1147
4,49,20.1564,61.1432
4,50,19.9707,60.7052
4,51,20.1570,61.0321
4,52,20.1979,61.2664
4,53,20.0151,60.5901
4,54,20.0763,60.5505
4,55,20.2182,61.0498
4,56,20.1233,60.4190
4,57,20.1387,60.4524
4,58,20.3196,60.5216
4,59,20.3623,60.9152
4,60,20.0873,60.5827
4,61,20.1068,60.9769
4,62,20.2370,61.0242
5,0,20.1462,60.4919
5,1,20.2160,60.8574
5,2,20.3340,60.7770
5,3,20.2624,60.6007
5,4,20.3646,60.6568
5,5,20.4172,60.7892
5,6,20.3086,60.5605
5,7,20.3053,60.4171
